"ID","Course","LongTitle","Dept","UGrad"
"131346","HAA 16D","No Renaiss & Baroque Paint/Scu","History of Art & Architecture",33
"131373","APPHY 299R","Special Topics Applied Physics","Applied Physics",0
"131446","OEB 57","Animal Behavior","Organismic & Evolutionary Biol",21
"131524","OEB 341","Coevolution","Organismic & Evolutionary Biol",0
"131537","OEB 303","Theoretical Population Genetic","Organismic & Evolutionary Biol",0
"131538","OEB 320","Biomech & Evol of Vertebrates","Organismic & Evolutionary Biol",0
"131539","NEC 98B","Tutorial - Junior Year","Near Eastern Languages & Civ",5
"131554","ENG-SCI 159","Introduction to Robotics","Engineering Sciences",19
"131562","IMMUN 360","Hematopoietic Stem Cells","Medical Sciences",0
"131566","IMMUN 378","T cell Bio and Cancer Immunolo","Medical Sciences",0
"131579","OEB 52","Biology of Plants","Organismic & Evolutionary Biol",39
"131584","OEB 253R","Evolutionary Genetics Seminar","Organismic & Evolutionary Biol",4
"131766","IMMUN 364","T-cell Diff, Tol, & Auto","Medical Sciences",0
"132206","OEB 55","Ecology","Organismic & Evolutionary Biol",21
"132738","PHIL 14","Morality and the Good Life","Philosophy",43
"133140","APPHY 360","Nonlinear Laser Phys & Mater E","Applied Physics",0
"133525","ENG-SCI 128","Computational Solid & Struc Me","Engineering Sciences",5
"133725","BCMP 311","Macromolecular Assemblies","Medical Sciences",0
"133893","OEB 305","Fundamental Interconnectedness","Organismic & Evolutionary Biol",0
"134052","ENG-SCI 259","Advanced Intro to Robotics","Engineering Sciences",2
"134893","FOLKMYTH 97","Fieldwork & Ethnography in Fol","Folklore & Mythology",3
"135919","APMTH 216","Inverse Problems","Applied Mathematics",13
"135951","RELIGION 1525","Holocaust:Relig&Representation","Religion, The Study of",7
"136675","E-PSCI 331","Atmospheric Chemistry","Earth & Planetary Sciences",0
"137382","MUSIC 184R","20th C. Performance Practice","Music",11
"138072","MUSIC 142R","Foundations of Modern Jazz","Music",6
"140008","ENG-SCI 50","Intro Electrical Engineering","Engineering Sciences",21
"140622","MUSIC 121","Choral Conducting","Music",12
"140850","PSY 2040","Contemporary Psychopathology","Psychology",0
"140979","HIST 1701","W. Africa, 1800 to Present","History",6
"141338","OEB 304","Mycology","Organismic & Evolutionary Biol",0
"141859","BCMP 213","Behavioral Pharmacology","Medical Sciences",11
"142204","IMMUN 301","Immunology Seminar","Medical Sciences",0
"142224","OEB 53","Evolutionary Biology","Organismic & Evolutionary Biol",48
"142229","APPHY 396","Topics in Materials Science","Applied Physics",0
"142234","OEB 308","Evolution Floral Devel Mechan","Organismic & Evolutionary Biol",0
"142254","ENG-SCI 202","Learn Est Control of Dyn Syst","Engineering Sciences",0
"142435","OEB 339","Whole-Plant Physiology","Organismic & Evolutionary Biol",0
"142447","GENED 1008","Power and Identity Mid East","General Education",42
"142694","MEDVLSTD 117","English Legal History 600-1600","Medieval Studies",8
"142714","IMMUN 328R","Introduction to Research","Medical Sciences",0
"142838","STAT 305R","Statistical Consulting","Statistics",0
"143005","ENG-SCI 151","Applied Electromagnetism","Engineering Sciences",8
"143013","SPANSH 320","Spanish & Hispanic-American Li","Romance Languages & Lit",0
"143020","OEB 311","Ecosystem Ecology","Organismic & Evolutionary Biol",0
"143028","ANTHRO 97Z","Sophomore Tutorial Social Anth","Anthropology",19
"143094","PSY 3360","Vision and Sensory Processes","Psychology",0
"143254","IMMUN 204","Critical Readings for Immunolo","Medical Sciences",0
"143432","APMTH 105","Ordinary & Partial Diff Equati","Applied Mathematics",110
"143450","PHYSICS 181","Statistical Mech & Thermodyn","Physics",50
"143462","ECON 2535","Adv Topics in Internationl Tra","Economics",0
"143482","IMMUN 344","Genetic Analysis Lymphcyte Dev","Medical Sciences",0
"143485","OEB 157","Global Change Biology","Organismic & Evolutionary Biol",11
"143495","OEB 361","Somatic Evolution of Cancer","Organismic & Evolutionary Biol",0
"143668","ENG-SCI 299R","Topics in Engineering Sciences","Engineering Sciences",1
"143819","PHYSICS 311B","Exp Atomic, Molec, & Low-Energ","Physics",0
"143846","OEB 190","Biology and Diversity of Birds","Organismic & Evolutionary Biol",24
"143892","CHNSE 123XB","Intermed Mod Chinese - Adv Beg","East Asian Langs & Civ",41
"144165","IMMUN 336","T-Lymphocyte Recognition","Medical Sciences",0
"144166","OEB 364","Eco Physiology of Microbes","Organismic & Evolutionary Biol",0
"144339","ENG-SCI 362","Atmospheric Chemistry","Engineering Sciences",0
"144344","PHYSICS 379A","Elementary Particle Research","Physics",0
"144581","OEB 99R","Supervised Research","Organismic & Evolutionary Biol",26
"144597","OEB 51","Bio/Evolution Invert Animals","Organismic & Evolutionary Biol",11
"144623","ANTHRO 2650B","Hist & Theory of Social Anthro","Anthropology",0
"144773","GERMAN 210","Baroque","Germanic Languages & Lit",0
"144847","OEB 323","Advanced Vertebrate Anatomy","Organismic & Evolutionary Biol",0
"144912","OEB 334","Behavioral Ecology","Organismic & Evolutionary Biol",0
"144952","ENG-SCI 123","Fluid Mechanics/Transport Proc","Engineering Sciences",51
"144968","NEUROBIO 356","Ion Channels in Neural Cell Me","Medical Sciences",0
"144983","ENG-SCI 96","Engineering Problem Solving","Engineering Sciences",35
"145004","OEB 369","Molecular Genetics of Neurosci","Organismic & Evolutionary Biol",0
"145006","OEB 173","Comparative Biomechanics","Organismic & Evolutionary Biol",2
"145010","MATH 23B","Linear Algebra and Real Analys","Mathematics",29
"145012","OEB 223","Topics in Neurogenetics","Organismic & Evolutionary Biol",6
"145020","OEB 167","Herpetology","Organismic & Evolutionary Biol",14
"145022","IMMUN 345","Pre-B Cell-fate & Antigen Rece","Medical Sciences",0
"145024","PHYSICS 247","Advanced Laboratory","Physics",0
"145035","OEB 370","Mammalian Evolutionary Genetic","Organismic & Evolutionary Biol",0
"145402","ENGLISH CAMR","Advanced Playwriting: Workshop","English",9
"145419","EASTD 97AB","Intro E. Asia Issues & Methods","East Asian Langs & Civ",24
"145787","ENGLISH 40","Arrivals: British Literature","English",22
"145797","ENGLISH 60","Migrations: Fictions of Americ","English",15
"146222","OEB 375","Evolutionary Dynamics and","Organismic & Evolutionary Biol",0
"146224","OEB 385","Natural Selection Humans & Pat","Organismic & Evolutionary Biol",0
"146247","ENGLISH CPWR","Poetry: Workshop","English",4
"146251","IMMUN 322","Sys to Innate & Adptive Immuni","Medical Sciences",0
"146257","IMMUN 301QC","Autoimmunity","Medical Sciences",0
"146352","IMMUN 302QC","Clinical Sessions","Medical Sciences",0
"146591","GENED 1135","Interracial Encounters","General Education",13
"146632","ENGLISH CBBR","Intermediate Poetry: Workshop","English",9
"146652","IMMUN 325L","Mechnsm Peripheral Tolerance","Medical Sciences",0
"146731","NEUROBIO 350","Development, degeneration, and","Medical Sciences",0
"146777","ENG-SCI 316","Wireless Computing Networking","Engineering Sciences",0
"146785","OEB 307","Biomech, Physiol & Musculo Bio","Organismic & Evolutionary Biol",0
"146798","OEB 355","Evolutionary Developmental Bio","Organismic & Evolutionary Biol",0
"146883","PHIL 147","Philosophy of Language","Philosophy",14
"146886","PHIL 133","19th-Century Philosophy","Philosophy",28
"146948","APPHY 295B","Quantum Theory of Solids","Applied Physics",0
"147748","MEDVLSTD 119","Const & Legal Hist Med Europe","Medieval Studies",7
"148041","BCMP 329","Cytoplasmic Signal Transductio","Medical Sciences",0
"148042","APPHY 398","Materials Science","Applied Physics",0
"148072","OEB 310","Metazon Systematics","Organismic & Evolutionary Biol",0
"148148","ENG-SCI 156","Signals and Communications","Engineering Sciences",14
"148156","COMPSCI 181","Machine Learning","Computer Science",63
"148181","ENG-SCI 241","Advanced Elasticity","Engineering Sciences",0
"148189","PHYSICS 311A","Exp Atomic, Molec, & Low-Energ","Physics",0
"148190","OEB 362","Research Molecular Evolution","Organismic & Evolutionary Biol",0
"148193","IMMUN 392","Dend Cells & Init of Immune Re","Medical Sciences",0
"148194","IMMUN 394","Cytotoxic Lymphocytes","Medical Sciences",0
"148202","FRENCH 61N","French Lang Through Industry","Romance Languages & Lit",2
"148213","OEB 363","Plant Diversity and Evolution","Organismic & Evolutionary Biol",0
"148221","ENG-SCI 310","Design, Sensing, and Control","Engineering Sciences",0
"148230","PHYSICS 379B","Elementary Particle Research","Physics",0
"148232","SCRB 302","Mechans Epigenetic Reprogrammi","Stem Cell & Regenerative Biol",0
"148242","OEB 399","Topics in OEB","Organismic & Evolutionary Biol",0
"148304","OEB 371","Compar & Evol Inverteb Dev Bio","Organismic & Evolutionary Biol",0
"148325","IMMUN 312","Interplay Between the Innate","Medical Sciences",0
"148326","IMMUN 390","The Role of NK Cells in Tissue","Medical Sciences",0
"148329","EASTD 91R","Supervised Reading & Research","East Asian Langs & Civ",1
"148330","OEB 386","Organismic and Evolutionary","Organismic & Evolutionary Biol",0
"148434","ENG-SCI 51","Computer-Aided Machine Design","Engineering Sciences",41
"148503","IMMUN 202","Adv Principles of Immunology","Medical Sciences",0
"152514","COMPSCI 50","Intro to Computer Science","Computer Science",40
"152860","EASTD 90R","East Asian Language Tutorials","East Asian Langs & Civ",0
"153042","MUSIC 189R","Chamber Music Performance","Music",48
"156010","MCB 165","Interplay: Viruses and Hosts","Molecular & Cellular Biology",26
"156014","BIOPHYS 350","Prokaryotic Cytoplasm","Biophysics",0
